id,PES1
0,2
1,1
2,2
3,1
4,1
5,2
6,2
7,2
8,1
9,2
10,1
11,2
12,2
13,2
14,2
15,2
16,2
17,1
18,2
19,2
20,1
21,1
22,2
23,1
24,1
25,1
26,1
27,2
28,2
29,2
30,1
31,2
32,2
33,1
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,1
47,2
48,2
49,2
50,1
51,2
52,2
53,2
54,1
55,2
56,2
57,1
58,2
59,1
60,2
61,1
62,1
63,2
64,2
65,2
66,2
67,2
68,1
69,1
70,1
71,2
72,2
73,1
74,1
75,1
76,2
77,1
78,1
79,2
80,2
81,1
82,1
83,1
84,1
85,1
86,2
87,1
88,2
89,1
90,1
91,2
92,2
93,1
94,1
95,1
96,2
97,2
98,1
99,2
100,2
101,1
102,1
103,2
104,2
105,1
106,1
107,1
108,1
109,2
110,2
111,2
112,1
113,2
114,2
115,2
116,2
117,1
118,2
119,2
120,1
121,1
122,2
123,2
124,1
125,1
126,1
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,1
135,2
136,2
137,1
138,2
139,2
140,2
141,1
142,2
143,2
144,2
145,2
146,2
147,2
148,1
149,2
150,1
151,1
152,2
153,1
154,2
155,2
156,1
157,2
158,2
159,1
160,2
161,2
162,1
163,1
164,2
165,1
166,2
167,2
168,2
169,2
170,1
171,2
172,2
173,2
174,1
175,2
176,2
177,2
178,2
179,2
180,2
181,2
182,1
183,1
184,2
185,2
186,2
187,2
188,2
189,2
190,1
191,2
192,2
193,2
194,1
195,1
196,1
197,2
198,2
199,2
200,2
201,1
202,1
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,2
212,1
213,2
214,2
215,2
216,2
217,2
218,1
219,2
220,2
221,1
222,2
223,1
224,2
225,1
226,2
227,1
228,2
229,1
230,1
231,1
232,2
233,1
234,1
235,2
236,2
237,2
238,2
239,2
240,1
241,2
242,2
243,2
244,1
245,2
246,2
247,1
248,2
249,1
250,1
251,1
252,2
253,1
254,1
255,1
256,1
257,1
258,2
259,2
260,1
261,1
262,1
263,2
264,2
265,2
266,1
267,2
268,2
269,2
270,2
271,2
272,2
273,2
274,2
275,2
276,1
277,1
278,1
279,1
280,2
281,2
282,2
283,2
284,1
285,1
286,2
287,2
288,1
289,2
290,2
291,2
292,1
293,2
294,1
295,2
296,2
297,1
298,2
299,1
300,1
301,1
302,2
303,1
304,2
305,2
306,2
307,1
308,1
309,2
310,2
311,2
312,1
313,2
314,2
315,2
316,2
317,2
318,2
319,1
320,2
321,1
322,1
323,1
324,2
325,1
326,2
327,2
328,1
329,2
330,1
331,2
332,2
333,2
334,2
335,2
336,2
337,1
338,2
339,2
340,2
341,2
342,2
343,2
344,2
345,1
346,2
347,2
348,2
349,2
350,2
351,1
352,2
353,2
354,1
355,2
356,2
357,1
358,1
359,1
360,2
361,2
362,2
363,1
364,1
365,2
366,1
367,2
368,1
369,1
370,2
371,2
372,2
373,1
374,2
375,2
376,1
377,2
378,2
379,1
380,1
381,2
382,2
383,1
384,1
385,2
386,1
387,2
388,2
389,2
390,2
391,1
392,1
393,2
394,2
395,2
396,1
397,2
398,2
399,1
400,2
401,1
402,2
403,2
404,2
405,2
406,2
407,2
408,2
409,2
410,2
411,2
412,2
413,1
414,1
415,2
416,2
417,2
418,2
419,2
420,2
421,2
422,2
423,2
424,2
425,2
426,1
427,1
428,1
429,2
430,2
431,2
432,2
433,1
434,2
435,2
436,1
437,1
438,1
439,2
440,2
441,1
442,2
443,2
444,2
445,2
446,1
447,1
448,1
449,1
450,2
451,2
452,2
453,2
454,2
455,1
456,1
457,1
458,2
459,2
460,1
461,2
462,2
463,1
464,2
465,2
466,1
467,2
468,2
469,2
470,2
471,2
472,2
473,2
474,2
475,2
476,1
477,1
478,2
479,1
480,1
481,2
482,1
483,2
484,1
485,1
486,2
487,1
488,2
489,1
490,2
491,1
492,2
493,2
494,1
495,1
496,2
497,2
498,2
499,2
500,1
501,2
502,2
503,2
504,2
505,2
506,2
507,1
508,2
509,1
510,1
511,1
512,2
513,2
514,2
515,1
516,2
517,2
518,1
519,2
520,2
521,2
522,1
523,1
524,1
525,2
526,2
527,2
528,2
529,2
530,2
531,2
532,2
533,2
534,2
535,1
536,1
537,2
538,2
539,2
540,1
541,1
542,2
543,1
544,1
545,2
546,1
547,2
548,2
549,2
550,2
551,1
552,1
553,1
554,1
555,2
556,2
557,2
558,2
559,2
560,1
561,1
562,2
563,1
564,1
565,2
566,1
567,1
568,1
569,2
570,1
571,2
572,1
573,2
574,2
575,1
576,1
577,1
578,1
579,2
580,2
581,2
582,1
583,2
584,2
585,2
586,1
587,2
588,2
589,1
590,1
591,1
592,1
593,2
594,1
595,2
596,1
597,2
598,2
599,2
600,1
601,2
602,2
603,1
604,1
605,2
606,2
607,2
608,2
609,1
610,1
611,1
612,1
613,1
614,1
615,2
616,1
617,2
618,2
619,2
620,2
621,1
622,1
623,2
624,2
625,1
626,2
627,2
628,2
629,2
630,2
631,1
632,2
633,2
634,2
635,2
636,2
637,2
638,2
639,1
640,2
641,1
642,1
643,2
644,1
645,1
646,2
647,1
648,2
649,1
650,2
651,2
652,1
653,1
654,2
655,1
656,1
657,2
658,2
659,2
660,2
661,2
662,2
663,1
664,2
665,2
666,2
667,2
668,1
669,1
670,2
671,2
672,2
673,2
674,2
675,2
676,1
677,1
678,2
679,1
680,2
681,2
682,1
683,2
684,1
685,2
686,2
687,2
688,2
689,2
690,2
691,2
692,2
693,2
694,2
695,2
696,1
697,2
698,1
699,1
700,1
701,2
702,2
703,1
704,2
705,1
706,1
707,1
708,1
709,1
710,1
711,2
712,2
713,2
714,2
715,2
716,2
717,2
718,1
719,1
720,1
721,2
722,1
723,2
724,1
725,1
726,1
727,2
728,2
729,2
730,1
